LONGITUDE,LATITUDE
-14.37,-7.95
-29.33,-20.51
-12.28,-37.09
3.35,-54.42
5.50,-53.93
163.25,-66.80
162.45,-66.42
164.83,-67.40
165.50,-72.67
164.58,-73.45
164.70,-74.35
163.00,-76.83
167.17,-77.53
163.60,-78.25
-136.00,-76.05
-132.33,-75.80
-126.88,-77.17
-126.67,-73.43
-115.83,-75.80
-112.08,-76.28
-99.42,-74.33
-90.58,-68.85
-60.65,-62.97
-57.93,-62.10
-56.75,-62.05
-55.77,-63.58
-60.05,-65.03
-72.17,-56.25
-27.37,-59.45
-26.58,-59.03
-26.45,-57.78
-26.72,-57.08
-27.15,-56.70
-28.13,-56.67
-27.57,-56.30
-28.08,-55.92
